time,queue_length,in_service,scenario,seed
0.0,0,0,Tanpa Intervensi,2026
1.0,0,2,Tanpa Intervensi,2026
2.0,1,2,Tanpa Intervensi,2026
3.0,1,2,Tanpa Intervensi,2026
4.0,1,2,Tanpa Intervensi,2026
5.0,1,2,Tanpa Intervensi,2026
6.0,0,2,Tanpa Intervensi,2026
7.0,0,2,Tanpa Intervensi,2026
8.0,0,1,Tanpa Intervensi,2026
9.0,0,2,Tanpa Intervensi,2026
10.0,0,2,Tanpa Intervensi,2026
11.0,0,1,Tanpa Intervensi,2026
12.0,0,2,Tanpa Intervensi,2026
13.0,0,1,Tanpa Intervensi,2026
14.0,0,1,Tanpa Intervensi,2026
15.0,0,1,Tanpa Intervensi,2026
16.0,0,0,Tanpa Intervensi,2026
17.0,0,1,Tanpa Intervensi,2026
18.0,0,1,Tanpa Intervensi,2026
19.0,0,1,Tanpa Intervensi,2026
20.0,0,1,Tanpa Intervensi,2026
21.0,0,2,Tanpa Intervensi,2026
22.0,1,2,Tanpa Intervensi,2026
23.0,2,2,Tanpa Intervensi,2026
24.0,1,2,Tanpa Intervensi,2026
25.0,1,2,Tanpa Intervensi,2026
26.0,0,2,Tanpa Intervensi,2026
27.0,1,2,Tanpa Intervensi,2026
28.0,0,2,Tanpa Intervensi,2026
29.0,1,2,Tanpa Intervensi,2026
30.0,0,2,Tanpa Intervensi,2026
31.0,0,1,Tanpa Intervensi,2026
32.0,0,1,Tanpa Intervensi,2026
33.0,0,2,Tanpa Intervensi,2026
34.0,0,2,Tanpa Intervensi,2026
35.0,1,2,Tanpa Intervensi,2026
36.0,1,2,Tanpa Intervensi,2026
37.0,1,2,Tanpa Intervensi,2026
38.0,0,2,Tanpa Intervensi,2026
39.0,0,2,Tanpa Intervensi,2026
40.0,1,2,Tanpa Intervensi,2026
41.0,1,2,Tanpa Intervensi,2026
42.0,1,2,Tanpa Intervensi,2026
43.0,1,2,Tanpa Intervensi,2026
44.0,0,2,Tanpa Intervensi,2026
45.0,0,2,Tanpa Intervensi,2026
46.0,0,1,Tanpa Intervensi,2026
47.0,0,1,Tanpa Intervensi,2026
48.0,0,0,Tanpa Intervensi,2026
49.0,0,1,Tanpa Intervensi,2026
50.0,0,1,Tanpa Intervensi,2026
51.0,0,1,Tanpa Intervensi,2026
52.0,0,0,Tanpa Intervensi,2026
53.0,0,0,Tanpa Intervensi,2026
54.0,0,0,Tanpa Intervensi,2026
55.0,0,0,Tanpa Intervensi,2026
56.0,0,2,Tanpa Intervensi,2026
57.0,1,2,Tanpa Intervensi,2026
58.0,1,2,Tanpa Intervensi,2026
59.0,0,2,Tanpa Intervensi,2026
60.0,1,2,Tanpa Intervensi,2026
61.0,0,2,Tanpa Intervensi,2026
62.0,0,2,Tanpa Intervensi,2026
63.0,0,2,Tanpa Intervensi,2026
64.0,0,2,Tanpa Intervensi,2026
65.0,0,1,Tanpa Intervensi,2026
66.0,0,2,Tanpa Intervensi,2026
67.0,0,2,Tanpa Intervensi,2026
68.0,0,2,Tanpa Intervensi,2026
69.0,0,2,Tanpa Intervensi,2026
70.0,0,2,Tanpa Intervensi,2026
71.0,0,2,Tanpa Intervensi,2026
72.0,0,2,Tanpa Intervensi,2026
73.0,0,2,Tanpa Intervensi,2026
74.0,0,1,Tanpa Intervensi,2026
75.0,0,1,Tanpa Intervensi,2026
76.0,0,1,Tanpa Intervensi,2026
77.0,0,1,Tanpa Intervensi,2026
78.0,0,0,Tanpa Intervensi,2026
79.0,0,0,Tanpa Intervensi,2026
80.0,0,0,Tanpa Intervensi,2026
81.0,0,0,Tanpa Intervensi,2026
82.0,0,1,Tanpa Intervensi,2026
83.0,0,2,Tanpa Intervensi,2026
84.0,0,2,Tanpa Intervensi,2026
85.0,0,2,Tanpa Intervensi,2026
86.0,0,1,Tanpa Intervensi,2026
87.0,0,0,Tanpa Intervensi,2026
88.0,0,0,Tanpa Intervensi,2026
89.0,0,0,Tanpa Intervensi,2026
90.0,0,0,Tanpa Intervensi,2026
91.0,0,0,Tanpa Intervensi,2026
92.0,0,1,Tanpa Intervensi,2026
93.0,0,2,Tanpa Intervensi,2026
94.0,0,2,Tanpa Intervensi,2026
95.0,0,1,Tanpa Intervensi,2026
96.0,0,0,Tanpa Intervensi,2026
97.0,0,0,Tanpa Intervensi,2026
98.0,0,0,Tanpa Intervensi,2026
99.0,0,0,Tanpa Intervensi,2026
100.0,0,0,Tanpa Intervensi,2026
101.0,0,0,Tanpa Intervensi,2026
102.0,0,0,Tanpa Intervensi,2026
103.0,0,0,Tanpa Intervensi,2026
104.0,0,0,Tanpa Intervensi,2026
105.0,0,1,Tanpa Intervensi,2026
106.0,0,1,Tanpa Intervensi,2026
107.0,0,1,Tanpa Intervensi,2026
108.0,0,0,Tanpa Intervensi,2026
109.0,0,0,Tanpa Intervensi,2026
110.0,0,0,Tanpa Intervensi,2026
111.0,0,0,Tanpa Intervensi,2026
112.0,0,0,Tanpa Intervensi,2026
113.0,0,0,Tanpa Intervensi,2026
114.0,0,0,Tanpa Intervensi,2026
115.0,0,1,Tanpa Intervensi,2026
116.0,0,1,Tanpa Intervensi,2026
117.0,0,2,Tanpa Intervensi,2026
118.0,0,2,Tanpa Intervensi,2026
119.0,0,1,Tanpa Intervensi,2026
120.0,0,1,Tanpa Intervensi,2026
121.0,0,1,Tanpa Intervensi,2026
122.0,0,0,Tanpa Intervensi,2026
123.0,0,0,Tanpa Intervensi,2026
124.0,0,0,Tanpa Intervensi,2026
125.0,0,0,Tanpa Intervensi,2026
126.0,0,0,Tanpa Intervensi,2026
127.0,0,0,Tanpa Intervensi,2026
128.0,0,2,Tanpa Intervensi,2026
129.0,1,2,Tanpa Intervensi,2026
130.0,1,2,Tanpa Intervensi,2026
131.0,2,2,Tanpa Intervensi,2026
132.0,3,2,Tanpa Intervensi,2026
133.0,3,2,Tanpa Intervensi,2026
134.0,4,2,Tanpa Intervensi,2026
135.0,3,2,Tanpa Intervensi,2026
136.0,4,2,Tanpa Intervensi,2026
137.0,4,2,Tanpa Intervensi,2026
138.0,3,2,Tanpa Intervensi,2026
139.0,3,2,Tanpa Intervensi,2026
