scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
1 Kiosk,base,51000,171,117,114,54,9.289105888570006,8.037923990986933,12.0,12.021215465500864,3.2838595523938374,9,94.82100822921775,14.25,31.57894736842105,1,3.0,4.0,12.0,480,4,1
1 Kiosk,base,51001,175,122,119,53,8.826720275431454,7.448164329512331,12.0,11.60726568198024,3.1998169061687727,9,99.4246542637508,14.875,30.28571428571429,1,3.0,4.0,12.0,480,4,2
1 Kiosk,base,51002,182,120,118,62,9.798761958411296,8.661455636923801,12.0,12.46933209096288,3.70956334872311,10,100.0,14.75,34.065934065934066,1,3.0,4.0,12.0,480,4,3
1 Kiosk,base,51003,145,119,115,26,6.936772063843272,5.8305205819939045,12.0,10.206764541369846,2.0610620494105443,10,95.91737095702754,14.375,17.93103448275862,1,3.0,4.0,12.0,480,4,4
1 Kiosk,base,51004,177,116,111,61,9.21671762181009,7.753094991899882,12.0,11.89066078155473,3.3301811694720813,10,96.09066995308129,13.875,34.463276836158194,1,3.0,4.0,12.0,480,4,5
1 Kiosk,base,51005,181,124,121,57,9.22230205142284,7.945457026673657,12.0,11.925959165883262,3.4331748153374972,10,98.9142365210513,15.125,31.491712707182316,1,3.0,4.0,12.0,480,4,6
1 Kiosk,base,51006,162,113,113,49,9.024762918785438,7.734615865869392,12.0,11.847857809083436,3.045857485090085,9,95.27945254755721,14.125,30.246913580246915,1,3.0,4.0,12.0,480,4,7
1 Kiosk,base,51007,162,119,116,43,8.684142037468824,7.485974874537401,12.0,11.582691481450327,2.8944375602409678,10,95.6684123562433,14.5,26.543209876543212,1,3.0,4.0,12.0,480,4,8
1 Kiosk,base,51008,149,121,118,28,7.511133803644885,6.472387906967671,12.0,10.746888065025237,2.318780150979778,8,98.75022808366036,14.75,18.79194630872483,1,3.0,4.0,12.0,480,4,9
1 Kiosk,base,51009,160,117,114,43,8.71557615456923,7.508480211376726,12.0,11.683391518195467,2.887511243606875,8,96.88975894090022,14.25,26.875,1,3.0,4.0,12.0,480,4,10
1 Kiosk,base,51010,148,112,108,36,7.618399922493403,6.210028469009143,12.0,10.723034979747775,2.3164201783780602,8,92.89886612724246,13.5,24.324324324324326,1,3.0,4.0,12.0,480,4,11
1 Kiosk,base,51011,154,120,118,34,7.439953465744314,6.147940281038538,12.0,10.487637486405134,2.373576100336867,8,95.57333652748116,14.75,22.07792207792208,1,3.0,4.0,12.0,480,4,12
1 Kiosk,base,51012,177,119,116,58,9.415471620601608,8.155785519718357,12.0,12.178900988627909,3.4597091621176554,10,99.78759218154293,14.5,32.7683615819209,1,3.0,4.0,12.0,480,4,13
1 Kiosk,base,51013,173,117,113,56,8.853729580482328,7.347822371140538,12.0,11.585396614138729,3.134505561964349,9,95.69976022451179,14.125,32.369942196531795,1,3.0,4.0,12.0,480,4,14
1 Kiosk,base,51014,145,117,115,28,6.996233635257745,5.798751086430537,12.0,10.12561615881508,2.108358190956794,8,93.16231262424418,14.375,19.310344827586206,1,3.0,4.0,12.0,480,4,15
1 Kiosk,base,51015,172,117,114,55,9.209266231883385,7.8973828366148835,12.0,11.939187985130129,3.2603539787534714,11,95.35823106706147,14.25,31.976744186046513,1,3.0,4.0,12.0,480,4,16
1 Kiosk,base,51016,153,119,114,34,8.366546993538098,7.328417563120407,12.0,11.488582624810148,2.602978036200636,8,96.48033226240877,14.25,22.22222222222222,1,3.0,4.0,12.0,480,4,17
1 Kiosk,base,51017,155,115,112,40,8.664729936107832,7.504636000840993,12.0,11.631649877206035,2.731527343383621,9,93.55167739287643,14.0,25.806451612903224,1,3.0,4.0,12.0,480,4,18
1 Kiosk,base,51018,180,121,116,59,9.384470288318798,8.109129354523835,12.0,12.125403784490002,3.4508944382301405,9,99.79921450517145,14.5,32.77777777777778,1,3.0,4.0,12.0,480,4,19
1 Kiosk,base,51019,190,122,120,68,9.389590957448387,7.934608868157333,12.0,11.928309494818448,3.6896498746360957,12,98.81579542789586,15.0,35.78947368421053,1,3.0,4.0,12.0,480,4,20
1 Kiosk,base,51020,162,121,117,41,8.654590447682551,7.5210219216906875,12.0,11.585005643170975,2.8756730322836175,9,96.30293474840649,14.625,25.308641975308642,1,3.0,4.0,12.0,480,4,21
1 Kiosk,base,51021,177,116,114,61,9.105830846616001,7.583897067681318,12.0,11.81673472237329,3.302832805184884,10,97.7678482364888,14.25,34.463276836158194,1,3.0,4.0,12.0,480,4,22
1 Kiosk,base,51022,156,116,113,40,7.956050096888473,6.5615846130569135,12.0,10.98762100077401,2.5685015545412733,9,97.00745026204464,14.125,25.64102564102564,1,3.0,4.0,12.0,480,4,23
