scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80000,55,55,54,0,0.0,0.0,0.0,3.013473237191879,0.0,0,8.565506032594707,6.75,0.0,4,10.0,3.0,20.0,480,4,1
Beban Sangat Rendah,base,80001,45,45,45,0,0.0,0.0,0.0,2.9917022110748297,0.0,0,7.01180205720664,5.625,0.0,4,10.0,3.0,20.0,480,4,2
Beban Sangat Rendah,base,80002,59,59,59,0,0.0,0.0,0.0,3.0515050372300916,0.0,0,9.377020687321634,7.375,0.0,4,10.0,3.0,20.0,480,4,3
Beban Sangat Rendah,base,80003,58,58,58,0,0.0,0.0,0.0,3.128148153132494,0.0,0,9.449614212587738,7.25,0.0,4,10.0,3.0,20.0,480,4,4
Beban Sangat Rendah,base,80004,40,40,40,0,0.0,0.0,0.0,2.9614965046469797,0.0,0,6.169784384681205,5.0,0.0,4,10.0,3.0,20.0,480,4,5
Beban Sangat Rendah,base,80005,56,56,56,0,0.0,0.0,0.0,2.8947227741059196,0.0,0,8.4429414244756,7.0,0.0,4,10.0,3.0,20.0,480,4,6
Beban Sangat Rendah,base,80006,51,51,50,0,0.0,0.0,0.0,2.8952805814926816,0.0,0,7.652472173121226,6.25,0.0,4,10.0,3.0,20.0,480,4,7
Beban Sangat Rendah,base,80007,51,51,51,0,0.0,0.0,0.0,2.9501395970347235,0.0,0,7.836308304623484,6.375,0.0,4,10.0,3.0,20.0,480,4,8
Beban Sangat Rendah,base,80008,41,41,40,0,0.0,0.0,0.0,2.9858831101623364,0.0,0,6.181530977884808,5.0,0.0,4,10.0,3.0,20.0,480,4,9
Beban Sangat Rendah,base,80009,50,50,50,0,0.0,0.0,0.0,2.923959599717526,0.0,0,7.614478124264392,6.25,0.0,4,10.0,3.0,20.0,480,4,10
Beban Sangat Rendah,base,80010,43,43,42,0,0.0,0.0,0.0,3.1057391108335324,0.0,0,6.873750329932761,5.25,0.0,4,10.0,3.0,20.0,480,4,11
Beban Sangat Rendah,base,80011,47,47,47,0,0.0,0.0,0.0,3.152340616120843,0.0,0,7.71666713321248,5.875,0.0,4,10.0,3.0,20.0,480,4,12
Beban Sangat Rendah,base,80012,44,44,43,0,0.0,0.0,0.0,2.7910486047235725,0.0,0,6.310197436783698,5.375,0.0,4,10.0,3.0,20.0,480,4,13
Beban Sangat Rendah,base,80013,62,62,62,0,0.0,0.0,0.0,2.9798112383493516,0.0,0,9.622307123836448,7.75,0.0,4,10.0,3.0,20.0,480,4,14
Beban Sangat Rendah,base,80014,60,60,60,0,0.0,0.0,0.0,2.915550519367649,0.0,0,9.111095373023904,7.5,0.0,4,10.0,3.0,20.0,480,4,15
Beban Sangat Rendah,base,80015,45,45,45,0,0.0,0.0,0.0,2.9043580633285355,0.0,0,6.807089210926254,5.625,0.0,4,10.0,3.0,20.0,480,4,16
Beban Sangat Rendah,base,80016,52,52,52,0,0.0,0.0,0.0,3.025328493909313,0.0,0,8.19359800433772,6.5,0.0,4,10.0,3.0,20.0,480,4,17
Beban Sangat Rendah,base,80017,35,35,35,0,0.0,0.0,0.0,3.1297336377944527,0.0,0,5.7052436105628015,4.375,0.0,4,10.0,3.0,20.0,480,4,18
Beban Sangat Rendah,base,80018,47,47,47,0,0.0,0.0,0.0,2.920324571511439,0.0,0,7.14871119067905,5.875,0.0,4,10.0,3.0,20.0,480,4,19
Beban Sangat Rendah,base,80019,56,56,56,0,0.0,0.0,0.0,2.8878945167668406,0.0,0,8.423025673903279,7.0,0.0,4,10.0,3.0,20.0,480,4,20
Beban Sangat Rendah,base,80020,51,51,51,0,0.0,0.0,0.0,2.925774304930211,0.0,0,7.77158799747088,6.375,0.0,4,10.0,3.0,20.0,480,4,21
Beban Sangat Rendah,base,80021,52,52,51,0,0.0,0.0,0.0,2.9725237222443517,0.0,0,8.050225325817912,6.375,0.0,4,10.0,3.0,20.0,480,4,22
Beban Sangat Rendah,base,80022,42,42,42,0,0.0,0.0,0.0,2.9617924472562693,0.0,0,6.478920978373093,5.25,0.0,4,10.0,3.0,20.0,480,4,23
Beban Sangat Rendah,base,80023,58,58,58,0,0.0,0.0,0.0,2.89387672109542,0.0,0,8.741919261642412,7.25,0.0,4,10.0,3.0,20.0,480,4,24
Beban Sangat Rendah,base,80024,44,44,44,0,0.0,0.0,0.0,2.6509988748536504,0.0,0,6.07520575487295,5.5,0.0,4,10.0,3.0,20.0,480,4,25
Beban Sangat Rendah,base,80025,53,53,53,0,0.0,0.0,0.0,3.2502339939382727,0.0,0,8.972000087433774,6.625,0.0,4,10.0,3.0,20.0,480,4,26
Beban Sangat Rendah,base,80026,46,46,46,0,0.0,0.0,0.0,3.1491723361138875,0.0,0,7.544892055272852,5.75,0.0,4,10.0,3.0,20.0,480,4,27
